Time [s],Value,Parity Error,Framing Error
1.820047000000000,0xFF,,
1.821202750000000,0xFF,,
1.822358500000000,0x01,,
1.823514750000000,0x04,,
1.824671500000000,0x8A,,
1.825827750000000,0x00,,
1.826986500000000,0x04,,
1.828146500000000,0x6C,,
1.829436000000000,0xFF,,
1.830578750000000,0xFF,,
1.831720250000000,0x01,,
1.832861750000000,0x06,,
1.834003000000000,0x00,,
1.835145250000000,0x04,,
1.836286750000000,0x02,,
1.837428750000000,0x01,,
1.838570750000000,0x08,,
1.839712250000000,0xE9,,
1.845730750000000,0x00,,Error
1.883056000000000,0xFF,,
1.884211750000000,0xFF,,
1.885367500000000,0x01,,
1.886524500000000,0x04,,
1.887681250000000,0xCD,,
1.888838000000000,0x00,,
1.889996500000000,0x3B,,
1.891155000000000,0xF2,,
1.892519000000000,0xFF,,
1.893662000000000,0xFF,,
1.894803500000000,0x01,,
1.895945000000000,0x3D,,
1.897086500000000,0x00,,
1.898229000000000,0x3B,,
1.899370750000000,0xD0,,
1.900512500000000,0x0B,,
1.901655000000000,0xF6,,
1.902797000000000,0x23,,
1.903939500000000,0x69,,
1.905081250000000,0x00,,
1.906223750000000,0x03,,
1.907365500000000,0x00,,
1.908508000000000,0x0A,,
1.909650000000000,0x00,,
1.910792500000000,0x7C,,
1.911934250000000,0xFA,,
1.913076750000000,0x00,,
1.914218750000000,0x00,,
1.915361250000000,0xDC,,
1.916503000000000,0x0C,,
1.917645500000000,0xDC,,
1.918787250000000,0xD6,,
1.919929750000000,0xDC,,
1.921071750000000,0x05,,
1.922214250000000,0x05,,
1.923356000000000,0x05,,
1.924498500000000,0x05,,
1.925640500000000,0x0A,,
1.926783000000000,0x00,,
1.927924750000000,0x2D,,
1.929067250000000,0x00,,
1.930209000000000,0x2D,,
1.931351500000000,0x00,,
1.932493250000000,0x2D,,
1.933636000000000,0x00,,
1.934777750000000,0x00,,
1.935920250000000,0x00,,
1.937062000000000,0x00,,
1.938204500000000,0x00,,
1.939346500000000,0x01,,
1.940489000000000,0xA0,,
1.941630750000000,0x00,,
1.942773250000000,0x01,,
1.943915000000000,0xC2,,
1.945057500000000,0x01,,
1.946199250000000,0xC2,,
1.947341750000000,0x01,,
1.948483750000000,0xC2,,
1.949626250000000,0x00,,
1.950768000000000,0x00,,
1.951910500000000,0x00,,
1.953052250000000,0x05,,
1.954194750000000,0x0A,,
1.955336750000000,0x17,,
1.956479250000000,0x00,,
1.957621000000000,0x00,,
1.958763500000000,0xA0,,
1.959905500000000,0xFF,,
1.961047750000000,0x80,,
1.962189750000000,0x50,,
1.963332250000000,0x40,,
1.964474000000000,0x78,,
1.965616000000000,0x54,,
1.971637000000000,0x00,,Error
2.006053750000000,0xFF,,
2.007209500000000,0xFF,,
2.008365500000000,0x01,,
2.009521000000000,0x04,,
2.010678000000000,0xCD,,
2.011834250000000,0x3B,,
2.012993000000000,0x24,,
2.014152000000000,0xCE,,
2.015485250000000,0xFF,,
2.016628250000000,0xFF,,
2.017769750000000,0x01,,
2.018911750000000,0x26,,
2.020053000000000,0x00,,
2.021196000000000,0x24,,
2.022338000000000,0x20,,
2.023480000000000,0x00,,
2.024621750000000,0x00,,
2.025763750000000,0x00,,
2.026905750000000,0x53,,
2.028047750000000,0x41,,
2.029189500000000,0x32,,
2.030331500000000,0x30,,
2.031473500000000,0x42,,
2.032615500000000,0x48,,
2.033757250000000,0x53,,
2.034899250000000,0x2A,,
2.036041250000000,0x00,,
2.037183250000000,0x00,,
2.038325000000000,0x00,,
2.039467000000000,0x00,,
2.040609000000000,0x00,,
2.041751000000000,0x00,,
2.042892750000000,0x00,,
2.044034750000000,0x00,,
2.045176750000000,0x00,,
2.046318750000000,0x00,,
2.047460500000000,0x00,,
2.048602500000000,0x00,,
2.049744250000000,0x00,,
2.050886250000000,0x00,,
2.052028250000000,0x00,,
2.053170250000000,0x00,,
2.054312000000000,0x00,,
2.055454000000000,0x00,,
2.056596000000000,0x00,,
2.057738000000000,0x00,,
2.058880000000000,0x00,,
2.060022000000000,0x00,,
2.061163750000000,0x00,,
2.062305500000000,0x97,,
2.068325750000000,0x00,,Error
2.218005500000000,0xC8,,Error
2.219009250000000,0xFF,,
2.330005250000000,0x00,,Error
2.360066500000000,0xA9,,Error
2.361096000000000,0x1A,,
2.362089500000000,0xFF,,
