Time [s],Value,Parity Error,Framing Error
8.679663500000000,0xFF,,
8.680819250000001,0xFF,,
8.681975500000000,0x01,,
8.683131749999999,0x04,,
8.684288499999999,0x8A,,
8.685444250000000,0x00,,
8.686602000000001,0x04,,
8.687760500000000,0x6C,,
8.689054750000000,0xFF,,
8.690198000000001,0xFF,,
8.691339749999999,0x01,,
8.692481500000000,0x06,,
8.693623000000001,0x00,,
8.694765500000001,0x04,,
8.695907249999999,0x02,,
8.697049500000000,0x01,,
8.698191749999999,0x08,,
8.699333500000000,0xE9,,
8.705354000000000,0x00,,Error
8.851673000000000,0xFF,,
8.852828000000001,0xFF,,
8.853983749999999,0x01,,
8.855141250000001,0x04,,
8.856297500000000,0xCD,,
8.857455000000000,0x00,,
8.858613500000001,0x3B,,
8.859771250000000,0xF2,,
8.861136249999999,0xFF,,
8.862279500000000,0xFF,,
8.863421000000001,0x01,,
8.864563250000000,0x3D,,
8.865705000000000,0x00,,
8.866848250000000,0x3B,,
8.867990250000000,0xD0,,
8.869132499999999,0x0B,,
8.870274500000001,0xF6,,
8.871416750000000,0x23,,
8.872559000000001,0x69,,
8.873701250000000,0x00,,
8.874843250000000,0x03,,
8.875985500000001,0x00,,
8.877127500000000,0x0A,,
8.878269749999999,0x00,,
8.879411749999999,0x7C,,
8.880554000000000,0xFA,,
8.881696249999999,0x00,,
8.882838250000001,0x00,,
8.883980500000000,0xDC,,
8.885122750000001,0x0C,,
8.886264750000000,0xDC,,
8.887407000000000,0xDC,,
8.888548999999999,0xDC,,
8.889691250000000,0x05,,
8.890833499999999,0x05,,
8.891975499999999,0x05,,
8.893117750000000,0x05,,
8.894259999999999,0x0A,,
8.895402000000001,0x00,,
8.896544250000000,0x2D,,
8.897686500000001,0x00,,
8.898828750000000,0x2D,,
8.899970750000000,0x00,,
8.901113000000000,0x2D,,
8.902255250000000,0x00,,
8.903397500000001,0x00,,
8.904539500000000,0x00,,
8.905681749999999,0x00,,
8.906824000000000,0x00,,
8.907966249999999,0x01,,
8.909108500000000,0xA0,,
8.910250749999999,0x00,,
8.911392749999999,0x01,,
8.912535000000000,0xC2,,
8.913677249999999,0x01,,
8.914819500000000,0xC2,,
8.915961749999999,0x01,,
8.917104000000000,0xC2,,
8.918246000000000,0x00,,
8.919388250000001,0x00,,
8.920530250000001,0x00,,
8.921672500000000,0x05,,
8.922814750000001,0x0A,,
8.923957000000000,0x17,,
8.925098999999999,0x00,,
8.926241500000000,0x00,,
8.927383499999999,0xA0,,
8.928525750000000,0xFF,,
8.929667999999999,0x80,,
8.930810250000000,0x50,,
8.931952250000000,0x40,,
8.933094499999999,0x78,,
8.934236250000000,0x4E,,
8.940257500000000,0x00,,Error
8.974670750000000,0xFF,,
8.975826250000001,0xFF,,
8.976982000000000,0x01,,
8.978139499999999,0x04,,
8.979295750000000,0xCD,,
8.980452500000000,0x3B,,
8.981611250000000,0x24,,
8.982770500000001,0xCE,,
8.984104750000000,0xFF,,
8.985248000000000,0xFF,,
8.986389500000000,0x01,,
8.987531750000000,0x26,,
8.988673500000001,0x00,,
8.989816749999999,0x24,,
8.990958750000001,0x20,,
8.992101000000000,0x00,,
8.993243250000001,0x00,,
8.994385500000000,0x00,,
8.995527500000000,0x53,,
8.996669750000001,0x41,,
8.997811750000000,0x32,,
8.998954250000001,0x30,,
9.000096250000000,0x42,,
9.001238499999999,0x48,,
9.002380499999999,0x53,,
9.003522750000000,0x2A,,
9.004664999999999,0x00,,
9.005807250000000,0x00,,
9.006949250000000,0x00,,
9.008091500000001,0x00,,
9.009233750000000,0x00,,
9.010376000000001,0x00,,
9.011518000000001,0x00,,
9.012660250000000,0x00,,
9.013802500000001,0x00,,
9.014944750000000,0x00,,
9.016086749999999,0x00,,
9.017229000000000,0x00,,
9.018371000000000,0x00,,
9.019513500000000,0x00,,
9.020655500000000,0x00,,
9.021797749999999,0x00,,
9.022939750000001,0x00,,
9.024082000000000,0x00,,
9.025224250000001,0x00,,
9.026366500000000,0x00,,
9.027508500000000,0x00,,
9.028650750000001,0x00,,
9.029793000000000,0x00,,
9.030934750000000,0x97,,
9.036955750000001,0x00,,Error
9.072655250000000,0xFF,,
9.073810750000000,0xFF,,
9.074966000000000,0x01,,
9.076122000000000,0x04,,
9.077278250000001,0x8A,,
9.078434750000000,0x00,,
9.079592999999999,0x04,,
9.080752000000000,0x6C,,
9.082045250000000,0xFF,,
9.083188500000000,0xFF,,
9.084330749999999,0x01,,
9.085472250000000,0x06,,
9.086614750000001,0x00,,
9.087757000000000,0x04,,
9.088899250000001,0x02,,
9.090041500000000,0x01,,
9.091183750000001,0x08,,
9.092325499999999,0xE9,,
9.098346250000001,0x00,,Error
9.304657000000001,0xFF,,
9.305813250000000,0xFF,,
9.306968500000000,0x01,,
9.308124500000000,0x04,,
9.309280749999999,0x8A,,
9.310436749999999,0x00,,
9.311595000000001,0x04,,
9.312754000000000,0x6C,,
9.314048250000001,0xFF,,
9.315191499999999,0xFF,,
9.316333750000000,0x01,,
9.317475500000000,0x06,,
9.318617750000000,0x00,,
9.319760000000000,0x04,,
9.320902500000001,0x02,,
9.322044750000000,0x01,,
9.323187000000001,0x08,,
9.324328749999999,0xE9,,
9.330349750000000,0x00,,Error
9.621651000000000,0xFF,,
9.622806499999999,0xFF,,
9.623961500000000,0x01,,
9.625117749999999,0x04,,
9.626275000000000,0x8A,,
9.627430750000000,0x00,,
9.628589500000000,0x04,,
9.629749250000000,0x6C,,
9.631040750000000,0xFF,,
9.632183749999999,0xFF,,
9.633326250000000,0x01,,
9.634468000000000,0x06,,
9.635610249999999,0x00,,
9.636752500000000,0x04,,
9.637895000000000,0x02,,
9.639037249999999,0x01,,
9.640179500000000,0x08,,
9.641321500000000,0xE9,,
9.647339750000000,0x00,,Error
9.941645250000001,0xFF,,
9.942801500000000,0xFF,,
9.943957749999999,0x01,,
9.945113250000000,0x04,,
9.946269500000000,0x8A,,
9.947426000000000,0x00,,
9.948584250000000,0x04,,
9.949743249999999,0x6C,,
9.951038000000000,0xFF,,
9.952181250000001,0xFF,,
9.953322750000000,0x01,,
9.954464750000000,0x06,,
9.955606250000001,0x00,,
9.956748749999999,0x04,,
9.957890750000001,0x02,,
9.959033000000000,0x01,,
9.960175250000001,0x08,,
9.961316999999999,0xE9,,
9.967336500000000,0x00,,Error
10.244643249999999,0xFF,,
10.245799500000000,0xFF,,
10.246955750000000,0x01,,
10.248112000000001,0x04,,
10.249268250000000,0x8A,,
10.250424250000000,0x00,,
10.251582250000000,0x04,,
10.252740749999999,0x6C,,
10.254035750000000,0xFF,,
10.255178750000001,0xFF,,
10.256321000000000,0x01,,
10.257462750000000,0x06,,
10.258604999999999,0x00,,
10.259747250000000,0x04,,
10.260889750000000,0x02,,
10.262032000000000,0x01,,
10.263174250000000,0x08,,
10.264316000000001,0xE9,,
10.270336750000000,0x00,,Error
10.559640999999999,0xFF,,
10.560797000000001,0xFF,,
10.561953250000000,0x01,,
10.563109499999999,0x04,,
10.564265499999999,0x8A,,
10.565421750000001,0x00,,
10.566579500000000,0x04,,
10.567738250000000,0x6C,,
10.569024750000001,0xFF,,
10.570168000000001,0xFF,,
10.571309749999999,0x01,,
10.572452000000000,0x06,,
10.573593750000001,0x00,,
10.574736750000000,0x04,,
10.575878500000000,0x02,,
10.577020750000001,0x01,,
10.578163000000000,0x08,,
10.579304750000000,0xE9,,
10.585324500000000,0x00,,Error
10.923641249999999,0xFF,,
10.924796499999999,0xFF,,
