Time [s],Value,Parity Error,Framing Error
-8.099145500000001,0x01,,
-8.098000100000000,0x08,,
-8.096855100000001,0xCB,,
-8.090834800000000,0x00,,Error
-7.772557600000000,0xFF,,
-7.771401600000000,0xFF,,
-7.770245400000000,0x01,,
-7.769089800000000,0x04,,
-7.767933600000000,0x8A,,
-7.766777400000000,0x00,,
-7.765619700000000,0x04,,
-7.764461500000000,0x6C,,
-7.763162900000000,0xFF,,
-7.762016500000000,0xFF,,
-7.760871000000000,0x01,,
-7.759726000000000,0x06,,
-7.758580400000000,0x00,,
-7.757434800000000,0x03,,
-7.756289000000000,0x21,,
-7.755143500000000,0x01,,
-7.753998000000000,0x08,,
-7.752852800000000,0xCB,,
-7.746834100000000,0x00,,Error
-7.419566400000000,0xFF,,
-7.418411100000000,0xFF,,
-7.417256000000000,0x01,,
-7.416100500000000,0x04,,
-7.414943700000000,0x8A,,
-7.413787400000000,0x00,,
-7.412628400000000,0x04,,
-7.411469000000000,0x6C,,
-7.410174100000000,0xFF,,
-7.409027700000000,0xFF,,
-7.407882100000000,0x01,,
-7.406737200000000,0x06,,
-7.405591600000000,0x00,,
-7.404446000000000,0x03,,
-7.403300200000000,0x21,,
-7.402154700000000,0x01,,
-7.401009200000000,0x08,,
-7.399864000000000,0xCB,,
-7.393843100000000,0x00,,Error
-7.095566800000000,0xFF,,
-7.094410800000000,0xFF,,
-7.093255600000000,0x01,,
-7.092099500000000,0x04,,
-7.090943400000000,0x8A,,
-7.089787600000000,0x00,,
-7.088629600000000,0x04,,
-7.087471200000000,0x6C,,
-7.086173400000000,0xFF,,
-7.085027000000000,0xFF,,
-7.083881400000000,0x01,,
-7.082736500000000,0x06,,
-7.081590900000000,0x00,,
-7.080445400000000,0x03,,
-7.079299600000000,0x21,,
-7.078154100000000,0x01,,
-7.077008700000000,0x08,,
-7.075863500000000,0xCB,,
-7.069844600000000,0x00,,Error
-6.771568400000000,0xFF,,
-6.770411700000000,0xFF,,
-6.769255900000000,0x01,,
-6.768100400000000,0x04,,
-6.766944300000000,0x8A,,
-6.765788100000000,0x00,,
-6.764629900000000,0x04,,
-6.763471300000000,0x6C,,
-6.762174000000000,0xFF,,
-6.761027600000000,0xFF,,
-6.759881900000000,0x01,,
-6.758736900000000,0x06,,
-6.757591200000000,0x00,,
-6.756445500000000,0x03,,
-6.755299600000000,0x21,,
-6.754154000000000,0x01,,
-6.753008500000000,0x08,,
-6.751863200000000,0xCB,,
-6.745846400000000,0x00,,Error
-6.388571800000000,0xFF,,
-6.387415900000000,0xFF,,
-6.386261300000000,0x01,,
-6.385105200000000,0x04,,
-6.383948500000000,0x8A,,
-6.382792200000000,0x00,,
-6.381634500000000,0x04,,
-6.380476300000000,0x6C,,
-6.379179600000000,0xFF,,
-6.378033300000000,0xFF,,
-6.376887700000000,0x01,,
-6.375742700000000,0x06,,
-6.374597100000000,0x00,,
-6.373451600000000,0x03,,
-6.372305800000000,0x21,,
-6.371160300000000,0x01,,
-6.370014800000000,0x08,,
-6.368869700000000,0xCB,,
-6.362849900000000,0x00,,Error
-6.043574500000000,0xFF,,
-6.042418800000000,0xFF,,
-6.041263100000000,0x01,,
-6.040107100000000,0x04,,
-6.038951000000000,0x8A,,
-6.037795000000000,0x00,,
-6.036636600000000,0x04,,
-6.035478200000000,0x6C,,
-6.034180700000000,0xFF,,
-6.033034100000000,0xFF,,
-6.031889200000000,0x01,,
-6.030744100000000,0x06,,
-6.029599200000000,0x00,,
-6.028453500000000,0x03,,
-6.027308400000000,0x21,,
-6.026163000000000,0x01,,
-6.025017400000000,0x08,,
-6.023872400000000,0xCB,,
-6.017852200000000,0x00,,Error
-5.720579300000000,0xFF,,
-5.719423800000000,0xFF,,
-5.718268200000000,0x01,,
-5.717112100000000,0x04,,
-5.715956000000000,0x8A,,
-5.714800100000000,0x00,,
-5.713642000000000,0x04,,
-5.712483800000000,0x6C,,
-5.711186000000000,0xFF,,
-5.710039500000000,0xFF,,
-5.708894600000000,0x01,,
-5.707749600000000,0x06,,
-5.706604700000000,0x00,,
-5.705459000000000,0x03,,
-5.704313900000000,0x21,,
-5.703168500000000,0x01,,
-5.702023000000000,0x08,,
-5.700878000000000,0xCB,,
-5.694859800000000,0x00,,Error
-5.396580200000000,0xFF,,
-5.395423900000000,0xFF,,
-5.394268200000000,0x01,,
-5.393112700000000,0x04,,
-5.391956500000000,0x8A,,
-5.390800700000000,0x00,,
-5.389642400000000,0x04,,
-5.388483500000000,0x6C,,
-5.387186100000000,0xFF,,
-5.386039800000000,0xFF,,
-5.384894700000000,0x01,,
-5.383749800000000,0x06,,
-5.382604800000000,0x00,,
-5.381459200000000,0x03,,
-5.380314000000000,0x21,,
-5.379168600000000,0x01,,
-5.378023200000000,0x08,,
-5.376878200000000,0xCB,,
-5.370857400000000,0x00,,Error
-5.074588400000000,0xFF,,
-5.073432800000000,0xFF,,
-5.072277200000000,0x01,,
-5.071121300000000,0x04,,
-5.069964600000000,0x8A,,
-5.068808700000000,0x00,,
-5.067650400000000,0x04,,
-5.066491900000000,0x6C,,
-5.065195100000000,0xFF,,
-5.064048700000000,0xFF,,
-5.062903100000000,0x01,,
-5.061758100000000,0x06,,
-5.060612500000000,0x00,,
-5.059467000000000,0x03,,
-5.058321200000000,0x21,,
-5.057175700000000,0x01,,
-5.056030200000000,0x08,,
-5.054885000000000,0xCB,,
-5.048865400000000,0x00,,Error
-4.724593800000000,0xFF,,
-4.723438700000000,0xFF,,
-4.722283500000000,0x01,,
-4.721126600000000,0x04,,
-4.719970300000000,0x8A,,
-4.718814100000000,0x00,,
-4.717656100000000,0x04,,
