Time [s],Value,Parity Error,Framing Error
0.104366000000000,0xFF,,
0.105522000000000,0xFF,,
0.106677000000000,0x01,,
0.107833000000000,0x04,,
0.108989500000000,0x8A,,
0.110146000000000,0x00,,
0.111304000000000,0x04,,
0.112462250000000,0x6C,,
0.113759000000000,0xFF,,
0.114905500000000,0xFF,,
0.116050500000000,0x01,,
0.117195500000000,0x06,,
0.118340500000000,0x00,,
0.119486250000000,0x04,,
0.120631250000000,0x02,,
0.121776750000000,0x01,,
0.122922250000000,0x08,,
0.124067250000000,0xE9,,
0.130085000000000,0x00,,Error
0.470367750000000,0xFF,,
0.471524000000000,0xFF,,
0.472679750000000,0x01,,
0.473835250000000,0x04,,
0.474991500000000,0x8A,,
0.476147750000000,0x00,,
0.477305750000000,0x04,,
0.478464500000000,0x6C,,
0.479762000000000,0xFF,,
0.480908250000000,0xFF,,
0.482053500000000,0x01,,
0.483198250000000,0x06,,
0.484343500000000,0x00,,
0.485489000000000,0x04,,
0.486634250000000,0x02,,
0.487779500000000,0x01,,
0.488925000000000,0x08,,
0.490070000000000,0xE9,,
0.496090250000000,0x00,,Error
0.790359750000000,0xFF,,
0.791515750000000,0xFF,,
0.792672000000000,0x01,,
0.793827750000000,0x04,,
0.794983750000000,0x8A,,
0.796140000000000,0x00,,
0.797297750000000,0x04,,
0.798456000000000,0x6C,,
0.799754000000000,0xFF,,
0.800900500000000,0xFF,,
0.802046000000000,0x01,,
0.803191000000000,0x06,,
0.804336500000000,0x00,,
0.805482000000000,0x04,,
0.806628000000000,0x02,,
0.807773250000000,0x01,,
0.808918750000000,0x08,,
0.810064000000000,0xE9,,
0.816085500000000,0x00,,Error
1.108357250000000,0xFF,,
1.109513250000000,0xFF,,
1.110669500000000,0x01,,
1.111825750000000,0x04,,
1.112982500000000,0x8A,,
1.114138250000000,0x00,,
1.115296250000000,0x04,,
1.116455000000000,0x6C,,
1.117752000000000,0xFF,,
1.118898250000000,0xFF,,
1.120043750000000,0x01,,
1.121188750000000,0x06,,
1.122334250000000,0x00,,
1.123479750000000,0x04,,
1.124625500000000,0x02,,
1.125771000000000,0x01,,
1.126916500000000,0x08,,
1.128061750000000,0xE9,,
1.134082250000000,0x00,,Error
1.414352500000000,0xFF,,
1.415508500000000,0xFF,,
1.416664750000000,0x01,,
1.417820750000000,0x04,,
1.418977750000000,0x8A,,
1.420133500000000,0x00,,
1.421291250000000,0x04,,
1.422449750000000,0x6C,,
1.423746500000000,0xFF,,
1.424893000000000,0xFF,,
1.426038000000000,0x01,,
1.427183000000000,0x06,,
1.428327750000000,0x00,,
1.429473500000000,0x04,,
1.430618750000000,0x02,,
1.431764000000000,0x01,,
1.432909500000000,0x08,,
1.434054500000000,0xE9,,
1.440072500000000,0x00,,Error
1.733349500000000,0xFF,,
1.734505000000000,0xFF,,
1.735660750000000,0x01,,
1.736818500000000,0x04,,
1.737974750000000,0x8A,,
